RG,NASC mês/ano,NOME,GEN,PAI,IPP DEP,IPP AC,IPP TOP,3P DEP,3P AC,3P TOP,STAY DEP,STAY AC,STAY TOP,MP120 DEP,MP120 AC,MP120 TOP,PE365 DEP,PE365 AC,PE365 TOP,NF 3P,NR 3P,MGTe VAL,MGTe AC,MGTe TOP,PAC DEP,PAC AC,PAC TOP,MP210 DEP,MP210 AC,MP210 TOP,P450 DEP,P450 AC,P450 TOP,NN 120,NRN 120,P120 DEP,P120 AC,P120 TOP,P210 DEP,P210 AC,P210 TOP,NF 210,NR 210,NF 450,NR 450,NF,PE365,NR,STAY,AOL DEP,AOL AC,AOL TOP,ACAB DEP,ACAB AC,ACAB TOP,US,MAR DEP,MAR AC,MAR TOP,MAR,ES DEP,ES AC,ES TOP,PS DEP,PS AC,PS TOP,MS DEP,MS AC,MS TOP,SAMS,CAR DEP,CAR AC,CAR TOP,IMS DEP,IMS AC,IMS TOP,IPM DEP,IPM AC,IPM TOP,MGTe_CR DEP,MGTe_CR AC,MGTe_CR TOP,MGTe_RE DEP,MGTe_RE AC,MGTe_RE TOP,MGTe_CO DEP,MGTe_CO AC,MGTe_CO TOP,MGTe_F1 DEP,MGTe_F1 AC,MGTe_F1 TOP,IPP,P365 DEP,P365 AC,P365 TOP
FGP A3253,06/22,A3253 FIV GUADALUPE,G,FANO 2762,,,,89.86,57,4%,91.81,50,2%,4.90,40,2%,1.64,67,2%,,,36.88,56,0.1%,,,,,,,41.35,64,0.1%,,,,,,,,,,,,,,,,,6.12,64,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLO 2752,11/21,I2752 DA MDLO,G,SINO 1730,,,,89.29,57,5%,89.21,50,5%,4.91,40,2%,1.95,68,1%,,,36.80,56,0.1%,,,,,,,46.80,65,0.1%,,,,,,,,,,,,,,,,,4.51,65,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBJ 1459,10/22,G,,SOAL 5627,,,,89.20,53,5%,82.47,47,15%,3.78,36,4%,2.19,64,0.5%,,,36.77,52,0.1%,,,,,,,50.26,61,0.1%,,,,,,,,,,,,,,,,,4.51,61,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCPJ 6525,06/21,6525C FIV JMP,G,REM 10447,,,,90.66,53,3%,92.03,47,2%,5.22,37,1%,1.67,65,2%,,,36.75,53,0.1%,,,,,,,47.29,62,0.1%,,,,,,,,,,,,,,,,,2.62,61,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNAN 23,11/21,FNAN AUSPICIOSO,G,LCCF 619,,,,90.76,53,3%,91.37,46,2%,2.42,36,15%,1.79,65,1%,,,36.64,53,0.1%,,,,,,,44.56,62,0.1%,,,,,,,,,,,,,,,,,5.51,62,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 4803,01/23,GIBRALTAR DA AGRONOVA G,,REMP 816,,,,85.49,60,14%,91.03,53,3%,5.21,42,1%,2.28,70,0.5%,,,36.60,59,0.1%,,,,,,,45.12,67,0.1%,,,,,,,,,,,,,,,,,5.16,67,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 4908,02/23,GARITO DA AGRONOVA,G,HORA 3986,,,,90.34,54,3%,92.66,47,2%,3.85,37,4%,1.55,65,3%,,,36.46,53,0.1%,,,,,,,47.22,62,0.1%,,,,,,,,,,,,,,,,,4.27,62,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMJM 316,09/22,316. FIV,G,REM A1936,,,,92.64,64,1%,94.11,57,0.5%,3.78,48,4%,2.83,73,0.1%,,,36.41,62,0.1%,,,,,,,39.11,70,0.1%,,,,,,,,,,,,,,,,,3.74,70,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNAN 77,10/22,FNAN BRIOSO,G,HORA 3986,,,,88.08,50,7%,85.89,43,10%,6.53,33,0.5%,1.67,62,2%,,,36.41,50,0.1%,,,,,,,49.88,59,0.1%,,,,,,,,,,,,,,,,,4.25,58,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANP 3013,02/23,3013 DA ANP,G,FGP 9684,,,,87.91,54,8%,87.49,47,7%,3.40,37,6%,1.77,65,1%,,,36.36,53,0.1%,,,,,,,45.81,61,0.1%,,,,,,,,,,,,,,,,,6.62,62,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCPJ 8810,09/22,8810S FIV JMP,G,HORA 3986,,,,88.81,50,6%,89.26,43,5%,7.67,33,0.1%,1.40,62,4%,,,36.20,50,0.1%,,,,,,,40.98,59,0.1%,,,,,,,,,,,,,,,,,6.30,58,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGJZ 1249,08/22,KAMPAQ FIV DA GAROUPA,G,IPB 6732,,,,89.31,56,5%,87.92,50,7%,5.76,39,0.5%,2.12,67,0.5%,,,36.09,55,0.1%,,,,,,,41.88,63,0.1%,,,,,,,,,,,,,,,,,4.96,63,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 1498,09/21,REM1498L GENETICA ADI,G,REMP 602,,,,85.94,82,13%,88.26,79,6%,6.94,71,0.1%,2.40,87,0.1%,,,36.02,81,0.1%,,,,,,,42.47,86,0.1%,,,,,,,,,,,,,,,,,4.30,85,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLO 2230,08/21,I2230 DA MDLO,G,SINO 1730,,,,84.52,60,17%,79.11,54,20%,3.80,43,4%,1.49,71,3%,,,35.95,59,0.1%,,,,,,,46.51,68,0.1%,,,,,,,,,,,,,,,,,7.69,68,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCPJ 8927,10/22,8927C FIV JMP,G,HORA 3986,,,,91.19,51,2%,90.86,45,3%,7.59,35,0.1%,1.56,63,2%,,,35.87,51,0.1%,,,,,,,42.96,60,0.1%,,,,,,,,,,,,,,,,,3.22,59,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 1423,07/21,REM1423L GENETICA ADI,G,REMP 602,,,,91.63,58,2%,83.40,52,14%,6.39,41,0.5%,2.86,69,0.1%,,,35.85,58,0.1%,,,,,,,42.31,66,0.1%,,,,,,,,,,,,,,,,,3.10,67,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGP A3829,10/22,A3829 FIV GUADALUPE,G,FANO 2762,,,,89.12,58,5%,90.73,51,3%,5.50,41,1%,1.49,69,3%,,,35.85,57,0.1%,,,,,,,39.57,65,0.1%,,,,,,,,,,,,,,,,,5.25,65,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 4752,12/22,GAMEOVER DA AGRONOVA,G,HORA 3986,,,,88.67,56,6%,89.72,49,4%,4.89,39,2%,1.72,67,2%,,,35.84,55,0.1%,,,,,,,41.60,64,0.1%,,,,,,,,,,,,,,,,,6.37,64,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINO 3359,10/22,I3359 SINO,G,RDM A3064,,,,88.91,55,5%,94.02,49,0.5%,4.27,38,3%,1.70,66,2%,,,35.70,55,0.1%,,,,,,,40.97,63,0.1%,,,,,,,,,,,,,,,,,4.77,63,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO B8522,11/21,B8522 FIV DA EAO,G,REM A7,,,,93.56,59,0.5%,92.55,52,2%,5.45,44,1%,2.20,69,0.5%,,,35.58,58,0.1%,,,,,,,37.80,66,0.5%,,,,,,,,,,,,,,,,,3.98,67,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLO 3050,10/22,J3050 DA MDLO,G,JCGG 15568,,,,89.29,54,5%,89.65,48,4%,6.20,38,0.5%,1.42,65,3%,,,35.55,54,0.1%,,,,,,,38.12,62,0.1%,,,,,,,,,,,,,,,,,5.55,62,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO B9121,06/22,B9121 FIV DA EAO,G,REM A7,,,,92.42,62,1%,93.48,55,1%,2.80,47,11%,2.27,71,0.5%,,,35.50,61,0.1%,,,,,,,41.78,69,0.1%,,,,,,,,,,,,,,,,,5.61,68,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIV 5566,08/22,5566 FIV PRONEL,G,RDM A3151,,,,95.65,58,0.1%,92.64,51,2%,4.36,41,3%,2.30,68,0.5%,,,35.45,57,0.1%,,,,,,,37.14,65,0.5%,,,,,,,,,,,,,,,,,4.98,65,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO B9195,07/22,B9195 FIV DA EAO,G,SINO 1730,,,,88.26,58,7%,93.69,52,0.5%,5.73,41,0.5%,1.90,69,1%,,,35.38,58,0.1%,,,,,,,40.70,66,0.1%,,,,,,,,,,,,,,,,,5.73,66,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPCF 5140,08/21,5140 FIV DA TERRA BRA,G,REMP 602,,,,91.96,56,2%,90.01,49,4%,3.82,38,4%,2.75,67,0.1%,,,35.38,55,0.1%,,,,,,,41.28,64,0.1%,,,,,,,,,,,,,,,,,3.50,65,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO B7661,09/21,B7661 FIV DA EAO (EST,G,REM A7,,,,88.10,61,7%,92.55,54,2%,3.21,46,7%,2.96,70,0.1%,,,35.31,60,0.1%,,,,,,,40.00,69,0.1%,,,,,,,,,,,,,,,,,4.62,69,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCCF 1497,08/22,1497H DA ARZ,G,FANO 2762,,,,91.18,53,2%,95.13,46,0.5%,4.98,36,2%,2.12,64,0.5%,,,35.28,52,0.1%,,,,,,,38.13,61,0.1%,,,,,,,,,,,,,,,,,4.60,61,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A6962,06/22,HITLER MAT.,G,REMP 602,,,,89.19,59,5%,88.67,52,6%,7.45,41,0.1%,2.70,69,0.1%,,,35.23,58,0.1%,,,,,,,37.47,66,0.5%,,,,,,,,,,,,,,,,,5.76,66,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIKU 9039,05/22,JIANDUT,G,SINO 1730,,,,86.51,59,11%,84.03,52,13%,2.23,42,18%,0.94,69,11%,,,35.20,58,0.1%,,,,,,,48.79,67,0.1%,,,,,,,,,,,,,,,,,5.68,66,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO B8804,12/21,B8804 FIV DA EAO,G,ACNP 3146,,,,83.69,60,20%,92.05,53,2%,4.30,45,3%,2.20,70,0.5%,,,35.18,59,0.1%,,,,,,,43.52,67,0.1%,,,,,,,,,,,,,,,,,4.73,68,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A8215,09/22,A8215 MAT.,G,FANO 2762,,,,92.62,56,1%,91.27,49,3%,5.00,39,2%,1.36,67,4%,,,35.03,55,0.1%,,,,,,,38.92,63,0.1%,,,,,,,,,,,,,,,,,3.55,63,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOC 2762,10/22,2762 FIV PHOC,G,HORA 3986,,,,92.81,51,1%,96.56,45,0.1%,7.51,35,0.1%,1.92,63,1%,,,35.03,51,0.1%,,,,,,,34.31,60,0.5%,,,,,,,,,,,,,,,,,5.85,60,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVCP 2737,09/22,DHIAMON FIV FVC,G,REM A1936,,,,89.56,59,4%,89.44,52,5%,4.41,43,2%,2.03,69,0.5%,,,35.00,58,0.1%,,,,,,,35.67,66,0.5%,,,,,,,,,,,,,,,,,6.53,66,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAT 6405,12/22,6405 KATISPERA,G,KAT 4098,,,,86.43,52,11%,93.13,45,1%,3.64,35,5%,2.08,63,0.5%,,,35.00,51,0.1%,,,,,,,40.39,61,0.1%,,,,,,,,,,,,,,,,,4.71,60,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTL 548,11/22,ESCUDEIRO FIV DA TARL,G,FANO 2762,,,,91.81,55,2%,92.79,48,1%,6.06,38,0.5%,2.13,66,0.5%,,,34.97,54,0.1%,,,,,,,36.14,63,0.5%,,,,,,,,,,,,,,,,,4.22,63,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 4589,11/22,GEPETO DA AGRONOVA,G,FANO 2879,,,,87.11,57,10%,89.70,50,4%,3.86,40,4%,1.38,68,4%,,,34.92,56,0.1%,,,,,,,44.06,64,0.1%,,,,,,,,,,,,,,,,,5.29,65,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVCP 1797,07/21,1797 FIV FVC,G,REM A1936,,,,85.42,60,15%,89.76,52,4%,2.61,43,13%,2.27,70,0.5%,,,34.89,58,0.1%,,,,,,,40.24,67,0.1%,,,,,,,,,,,,,,,,,5.27,67,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA 5734,09/21,5734 TE DA HORA,G,SINO 1730,,,,88.88,56,6%,86.48,49,9%,2.47,39,15%,2.34,67,0.1%,,,34.88,56,0.1%,,,,,,,40.47,64,0.1%,,,,,,,,,,,,,,,,,5.43,65,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIV 5812,11/22,5812 FIV PRONEL,G,HORA 3986,,,,89.50,56,4%,95.23,49,0.5%,2.76,38,11%,2.20,67,0.5%,,,34.87,55,0.1%,,,,,,,38.52,64,0.1%,,,,,,,,,,,,,,,,,6.38,63,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATCC 213,09/22,PAGAO FIV MURALHA DE,G,HORA 3986,,,,87.83,53,8%,94.73,46,0.5%,5.15,36,1%,2.02,65,0.5%,,,34.87,53,0.1%,,,,,,,41.57,62,0.1%,,,,,,,,,,,,,,,,,3.85,62,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 1659,11/21,REM1659L FIV GENETICA,G,REM A2239,,,,90.81,57,3%,93.16,49,1%,3.18,39,7%,1.77,67,1%,,,34.80,56,0.1%,,,,,,,42.97,64,0.1%,,,,,,,,,,,,,,,,,4.11,65,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA 6160,11/21,6160 DA HORA,G,SINO 1730,,,,89.14,57,5%,91.91,50,2%,2.27,40,17%,1.89,69,1%,,,34.78,57,0.1%,,,,,,,44.11,66,0.1%,,,,,,,,,,,,,,,,,4.26,66,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFC 1425,11/22,1425 FIV DO MORRO,G,REM A1936,,,,91.96,58,2%,89.89,51,4%,2.94,43,9%,1.45,68,3%,,,34.74,57,0.1%,,,,,,,36.96,65,0.5%,,,,,,,,,,,,,,,,,4.85,65,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGJZ 1272,08/22,KOVAQ FIV DA GAROUPA,G,IPB 6732,,,,90.59,56,3%,92.21,49,2%,5.47,39,1%,2.31,67,0.5%,,,34.74,55,0.1%,,,,,,,35.63,63,0.5%,,,,,,,,,,,,,,,,,5.57,63,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOQM 700,06/21,ICONE FIV DA MOQUEM,G,REM 8933,,,,85.65,60,14%,86.80,54,8%,7.42,45,0.1%,1.73,70,2%,,,34.73,59,0.1%,,,,,,,43.62,67,0.1%,,,,,,,,,,,,,,,,,3.53,68,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINO 3554,03/23,J3554 SINO,G,SINO 1730,,,,85.29,58,15%,79.62,52,19%,2.64,42,12%,1.35,69,4%,,,34.73,58,0.1%,,,,,,,45.13,66,0.1%,,,,,,,,,,,,,,,,,4.79,66,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINO 3015,03/22,IRMAO SINO,G,SINO 1730,,,,83.71,58,20%,77.82,51,22%,5.99,41,0.5%,1.13,69,7%,,,34.72,57,0.1%,,,,,,,49.77,66,0.1%,,,,,,,,,,,,,,,,,5.04,65,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCCF 1648,10/22,1648H DA ARZ,G,FANO 2762,,,,85.74,57,13%,94.45,50,0.5%,6.93,40,0.1%,2.09,68,0.5%,,,34.71,56,0.1%,,,,,,,40.63,65,0.1%,,,,,,,,,,,,,,,,,3.77,64,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A5492,07/21,GURUPI MAT.,G,REMP 602,,,,90.02,58,4%,89.70,51,4%,6.98,41,0.1%,2.26,70,0.5%,,,34.68,58,0.1%,,,,,,,39.05,67,0.1%,,,,,,,,,,,,,,,,,2.93,67,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAT 5053,08/21,5053 KATISPERA,G,SINO 1730,,,,85.53,57,14%,90.03,50,4%,4.03,40,3%,2.39,69,0.1%,,,34.66,57,0.1%,,,,,,,41.89,66,0.1%,,,,,,,,,,,,,,,,,5.39,66,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVCP 2868,10/22,ESLAVO FIV FVC,G,IPB 6732,,,,91.09,56,2%,91.56,50,2%,2.80,39,11%,1.75,67,2%,,,34.66,55,0.1%,,,,,,,36.72,64,0.5%,,,,,,,,,,,,,,,,,4.54,64,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTL 563,11/22,EDUCACIONAL FIV DA TA,G,FANO 2762,,,,86.39,55,12%,87.35,48,7%,3.70,38,5%,1.50,66,3%,,,34.61,54,0.1%,,,,,,,40.41,62,0.1%,,,,,,,,,,,,,,,,,6.09,62,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 4871,02/23,GHALARO DA AGRONOVA,G,HORA 3986,,,,87.46,54,9%,88.87,47,5%,4.96,37,2%,1.26,65,5%,,,34.60,53,0.1%,,,,,,,37.98,62,0.1%,,,,,,,,,,,,,,,,,5.59,62,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIKU 9335,06/22,JOLIVAM,G,REM A1576,,,,83.97,59,19%,91.05,52,3%,3.43,43,6%,1.03,69,9%,,,34.58,58,0.1%,,,,,,,43.00,66,0.1%,,,,,,,,,,,,,,,,,4.81,66,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMI 899,03/23,899 FIV DO SAMI,G,FANO 2762,,,,87.35,58,9%,90.42,51,3%,2.38,40,16%,1.82,68,1%,,,34.53,57,0.1%,,,,,,,40.91,65,0.1%,,,,,,,,,,,,,,,,,5.60,65,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANP 2047,09/22,ANP2047,G,FANO 2762,,,,89.01,54,5%,89.99,47,4%,5.34,37,1%,1.77,65,1%,,,34.52,53,0.1%,,,,,,,41.06,62,0.1%,,,,,,,,,,,,,,,,,2.67,62,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO B8886,01/22,B8886 FIV DA EAO,G,REM A1576,,,,90.53,60,3%,91.75,53,2%,3.38,44,6%,1.95,70,1%,,,34.47,59,0.1%,,,,,,,37.24,67,0.5%,,,,,,,,,,,,,,,,,5.45,68,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 3294,12/20,ELO DA AGRONOVA,G,PAU 2753,,,,85.24,60,15%,90.80,53,3%,2.88,43,10%,1.48,70,3%,,,34.39,59,0.1%,,,,,,,37.06,67,0.5%,,,,,,,,,,,,,,,,,7.01,68,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A5269,06/21,GOLAN MAT.,G,SINO 1730,,,,85.83,59,13%,83.24,53,14%,5.20,42,1%,2.20,70,0.5%,,,34.33,59,0.1%,,,,,,,40.89,67,0.1%,,,,,,,,,,,,,,,,,5.16,68,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCPJ 8219,07/22,8219P FIV JMP,G,IPB 6732,,,,86.73,53,11%,83.43,47,14%,6.44,37,0.5%,1.45,64,3%,,,34.33,52,0.1%,,,,,,,44.06,61,0.1%,,,,,,,,,,,,,,,,,5.13,61,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAT 5776,09/22,5776 FIV KATISPERA,G,REM A1936,,,,85.77,59,13%,91.02,52,3%,4.36,44,3%,2.77,69,0.1%,,,34.28,58,0.1%,,,,,,,35.79,66,0.5%,,,,,,,,,,,,,,,,,5.10,66,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA 7073,11/22,7073 TE DA HORA,G,HORA 3986,,,,91.19,53,2%,93.17,46,1%,2.59,36,13%,1.38,64,4%,,,34.28,52,0.1%,,,,,,,43.49,61,0.1%,,,,,,,,,,,,,,,,,4.48,61,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATCC 272,12/22,PASSATEMPO FIV MURALH,G,HORA 3986,,,,93.27,51,0.5%,92.30,45,2%,2.83,35,10%,1.67,63,2%,,,34.27,51,0.1%,,,,,,,43.24,60,0.1%,,,,,,,,,,,,,,,,,3.72,60,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA 4856,09/20,4856 TE DA HORA,G,RDM 7698,,,,91.74,58,2%,86.78,51,8%,2.60,43,13%,1.59,68,2%,,,34.26,57,0.1%,,,,,,,38.89,65,0.1%,,,,,,,,,,,,,,,,,6.44,66,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO B7486,09/21,B7486 FIV DA EAO (ESS,G,REM A1936,,,,86.84,57,10%,91.72,49,2%,2.26,40,18%,2.37,67,0.1%,,,34.25,56,0.1%,,,,,,,42.30,64,0.1%,,,,,,,,,,,,,,,,,3.35,65,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZNM 19312,10/21,MARATA 19312,G,HORA 3150,,,,85.33,59,15%,87.90,53,7%,6.10,43,0.5%,1.88,71,1%,,,34.24,59,0.1%,,,,,,,38.85,68,0.1%,,,,,,,,,,,,,,,,,4.49,66,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 4000,12/21,FROGON DA AGRONOVA,G,BONS 3108,,,,85.08,82,16%,91.13,79,3%,7.79,72,0.1%,1.51,87,3%,,,34.23,81,0.1%,,,,,,,36.16,86,0.5%,,,,,,,,,,,,,,,,,6.55,85,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCCF 1697,10/22,1697H DA ARZ,G,FANO 2762,,,,90.93,56,2%,86.32,49,9%,3.06,39,8%,1.20,67,6%,,,34.22,55,0.1%,,,,,,,39.53,63,0.1%,,,,,,,,,,,,,,,,,5.77,63,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVCP 1762,07/21,1762 FIV FVC,G,REMP 602,,,,89.76,56,4%,89.41,49,5%,6.17,39,0.5%,2.43,67,0.1%,,,34.21,55,0.1%,,,,,,,41.13,64,0.1%,,,,,,,,,,,,,,,,,2.94,65,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 4516,11/22,GARDEN DA AGRONOVA,G,HORA 3986,,,,86.51,55,11%,95.57,48,0.1%,3.37,38,6%,1.17,66,6%,,,34.21,54,0.1%,,,,,,,39.01,63,0.1%,,,,,,,,,,,,,,,,,6.73,63,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAB 9759,11/21,9759 DA AFB,G,SINO 1730,,,,90.17,60,3%,80.42,53,18%,6.39,43,0.5%,1.11,71,7%,,,34.18,59,0.1%,,,,,,,41.64,68,0.1%,,,,,,,,,,,,,,,,,5.48,68,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 1428,07/21,REM1428L GENETICA ADI,G,REM A2239,,,,91.96,58,2%,91.74,51,2%,4.18,41,3%,1.75,69,2%,,,34.15,57,0.1%,,,,,,,40.34,66,0.1%,,,,,,,,,,,,,,,,,3.88,66,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIV 5724,10/22,5724 FIV PRONEL,G,HORA 3986,,,,89.03,55,5%,85.06,48,11%,5.90,38,0.5%,1.70,66,2%,,,34.15,55,0.1%,,,,,,,38.26,64,0.1%,,,,,,,,,,,,,,,,,6.02,63,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGP A3932,11/22,A3932 FIV GUADALUPE,G,RDM A3064,,,,85.20,55,15%,91.76,48,2%,3.35,38,6%,1.45,66,3%,,,34.15,54,0.1%,,,,,,,36.68,63,0.5%,,,,,,,,,,,,,,,,,5.97,63,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 602,09/18,REM HORUS GEN ADT,G,REM A149,,,,90.16,70,3%,84.00,65,13%,7.51,56,0.1%,3.17,85,0.1%,,,31.61,77,0.1%,,,,,,,32.07,88,1%,,,,,,,,,,,,,,,,,1.87,89,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 10447,11/18,REM HERCULES,G,REM 8933,,,,88.16,70,7%,92.78,65,1%,0.08,56,71%,1.69,79,2%,,,31.13,70,0.1%,,,,,,,38.16,78,0.1%,,,,,,,,,,,,,,,,,0.60,76,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A2239,11/17,REM GRINGO GEN ADITIV,G,REM 9852,,,,88.04,72,7%,78.46,65,21%,2.41,57,15%,1.61,81,2%,,,29.69,73,0.5%,,,,,,,39.88,81,0.1%,,,,,,,,,,,,,,,,,4.19,81,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
